day,n_control,x_control,n_treatment,x_treatment,z,naive_p,obf_z_boundary,always_valid_p
1,3531,488,3528,503,0.5283590929312162,0.5972501241686982,26.346713512957233,1.0
2,7058,1004,7006,1049,1.2559794185280002,0.20912343224456942,5.848576973101189,1.0
3,10685,1521,10648,1616,1.9417425317225128,0.052168277062001105,4.723483792168903,0.5742039990570845
4,14287,2006,14107,2110,2.1929627879318345,0.028310060274309518,4.050468219911546,0.38907476165774
5,17805,2476,17656,2657,3.0573298173166865,0.002233184093721086,3.604865980077704,0.04979991542029638
6,21358,2942,21270,3187,3.5567023328653873,0.0003755392648309897,3.2700199391673914,0.010862254532340578
7,24962,3433,24908,3721,3.7780677186005844,0.00015804990677668464,3.00675812702292,0.005149392544087982
8,28576,3939,28577,4255,3.7700339819182855,0.00016322532105721746,2.7932245382541208,0.005149392544087982
9,32248,4472,32117,4784,3.7163688269133393,0.00020210649200876846,2.632088439528827,0.005149392544087982
10,35744,4952,35675,5290,3.7142310872584376,0.00020382247916019605,2.4987251152538903,0.005149392544087982
11,39376,5430,39149,5815,4.253504187199617,2.10451001387232e-05,2.3698197917293635,0.0008949714431272396
12,43010,5943,42677,6319,4.133028896429243,3.580136947841418e-05,2.268620361924911,0.0008949714431272396
13,46524,6417,46294,6828,4.165010734334948,3.113379158713071e-05,2.179732459943566,0.0008949714431272396
14,50112,6899,49888,7405,4.859676972560605,1.1757743847334281e-06,2.0999999999999996,6.414007706929096e-05
