dimension,level,n,n_control,n_treatment,rate_control,rate_treatment,abs_lift,rel_lift,within_p,lift_outside,interaction_z,interaction_p,bh_adjusted_p,bh_significant
device,mobile,60210,30223,29987,0.1252688349932171,0.1462967285823857,0.021027893589168623,0.16786213099457026,4.991459415056213e-14,-0.004868007846037858,5.665394460545929,1.466866891878669e-08,1.9069269594422696e-07,True
device,desktop,29754,14978,14776,0.1631058886366671,0.15816188413643748,-0.004944004500229637,-0.03031162480738414,0.24556942161679196,0.017509405094680103,-4.5092981024003995,6.504246061086505e-06,4.227759939706229e-05,True
tenure,loyal,19947,10022,9925,0.18629016164438236,0.20866498740554157,0.022374825761159206,0.12010739356097355,7.206464649843715e-05,0.007955877520455484,2.3579218008756313,0.018377563820183282,0.07963610988746089,True
device,tablet,10036,4911,5125,0.1364284259824883,0.1328780487804878,-0.003550377202000493,-0.02602373498361854,0.6024199063896313,0.012406660150871107,-2.2138502555050064,0.026839081643352393,0.08722701534089528,True
tenure,returning,39794,19894,19900,0.145420729868302,0.15311557788944724,0.007694848021145229,0.05291438179490604,0.03125864201449516,0.012754805189444024,-1.111869458320084,0.2661942820989823,0.5860700407778073,False
tenure,new,40259,20196,20063,0.10591206179441473,0.11399092857498878,0.008078866780574054,0.07627900584407366,0.009570105291963567,0.012488825094730177,-1.0127424583801505,0.3111831918755784,0.5860700407778073,False
country,UK,19905,9924,9981,0.13603385731559856,0.1510870654243062,0.015053208108707639,0.11065780538578851,0.0024601001869586866,0.00969251930665141,0.9657678730816927,0.33416034782968607,0.5860700407778073,False
channel,paid,34781,17319,17462,0.12246665511865581,0.13560875042950407,0.013142095310848256,0.10731162125817106,0.0002570311302694949,0.009636482155234272,0.7693938730035089,0.4416595247561338,0.5860700407778073,False
channel,referral,19907,9950,9957,0.14231155778894472,0.1496434669077031,0.00733190911875839,0.05152012410426976,0.1429456647057799,0.01160843960238564,-0.7663273449794487,0.44348155156727775,0.5860700407778073,False
country,US,49959,25081,24878,0.14772138271998725,0.15684540557922663,0.009124022859239383,0.06176507890218175,0.004538108024495616,0.012462200609748508,-0.7540434893641697,0.450823108290621,0.5860700407778073,False
country,IN,9937,4908,5029,0.10472697636511817,0.113939152913104,0.009212176547985826,0.08796374026753773,0.14130585373983368,0.011050865019630013,-0.2748918347645094,0.783399340495468,0.8740652870264188,False
country,DE,20199,10199,10000,0.13040494166094715,0.1422,0.011795058339052839,0.09044947368421052,0.014557619881971266,0.01046651152880057,0.24451821603034643,0.8068294957166943,0.8740652870264188,False
channel,organic,45312,22843,22469,0.14717856673816923,0.15786194312163426,0.010683376383465032,0.07258785446980709,0.0015617490244895684,0.01099762358188125,-0.07033697251753641,0.9439254555514895,0.9439254555514895,False
