day,n_control,x_control,n_treatment,x_treatment,z,naive_p,obf_z_boundary,always_valid_p
1,3531,488,3528,477,-0.3669002459389317,0.713693427995138,7.37702097296499,1.0
2,7058,1004,7006,985,-0.28181860332558306,0.7780826054779093,5.226387933409575,1.0
3,10685,1521,10648,1521,0.10330879372729514,0.9177178965800257,4.243557631467251,1.0
4,14287,2006,14107,1979,-0.02968847035151725,0.9763155071965727,3.6782630321358925,1.0
5,17805,2476,17656,2489,0.5182150254412125,0.6043082525287433,3.310991036049632,1.0
6,21358,2942,21270,2994,0.8989108986360405,0.36870012234222493,3.037723440756595,1.0
7,24962,3433,24908,3497,0.9256612699504642,0.35462204132278474,2.8415516365271554,1.0
8,28576,3939,28577,3990,0.6154730367487391,0.5382423706196089,2.6697671000992442,1.0
9,32248,4472,32117,4490,0.4126156382173845,0.6798882419332305,2.5448368890472084,1.0
10,35744,4952,35675,4965,0.24435291031131723,0.8069575085957037,2.4435046707178927,1.0
11,39376,5430,39149,5460,0.6348127287671559,0.5255505605779184,2.3434884607101485,1.0
12,43010,5943,42677,5936,0.3871799889482662,0.6986229635888019,2.268620361924911,1.0
13,46524,6417,46294,6406,0.19762040601689812,0.84334206797183,2.203951709498494,1.0
14,50112,6899,49888,6940,0.659359101701313,0.5096651984433741,2.135,1.0
