dimension,level,n,n_control,n_treatment,rate_control,rate_treatment,abs_lift,rel_lift,within_p,lift_outside,interaction_z,interaction_p,bh_adjusted_p,bh_significant
tenure,loyal,19947,10022,9925,0.18629016164438236,0.19768261964735517,0.01139245800297281,0.061154372847238125,0.041084083330974415,-0.0009523626016574582,2.041309482333164,0.041220075148742284,0.5358609769336496,False
channel,paid,34781,17319,17462,0.12246665511865581,0.1273050051540488,0.004838350035392985,0.03950748904430501,0.17235359139221662,-0.00023214178851457823,1.1282576055829,0.25921114202082485,0.756053186477789,False
tenure,returning,39794,19894,19900,0.145420729868302,0.14381909547738694,-0.0016016343909150688,-0.011013796948795118,0.6496836877327905,0.003417737028846457,-1.1179563635401482,0.26358563065006146,0.756053186477789,False
device,mobile,60210,30223,29987,0.1252688349932171,0.12865575082535766,0.003386915832140569,0.02703717833987973,0.21198199437390908,-0.0016520890479874983,1.1108032608972123,0.26665304255598543,0.756053186477789,False
device,desktop,29754,14978,14776,0.1631058886366671,0.1614780725500812,-0.0016278160865859093,-0.009980118438347785,0.7033905388894798,0.002870535192652318,-0.9061445541799522,0.3648593456463356,0.756053186477789,False
country,UK,19905,9924,9981,0.13603385731559856,0.14136860034064724,0.005334743025048688,0.03921628872635785,0.276255796708633,0.0004710794590056522,0.8886248515518665,0.37420473044341385,0.756053186477789,False
tenure,new,40259,20196,20063,0.10591206179441473,0.10546777650401236,-0.0004442852904023714,-0.004194850736309652,0.8847290901827044,0.002631322999172764,-0.7168199145071218,0.4734852221826068,0.756053186477789,False
channel,referral,19907,9950,9957,0.14231155778894472,0.14090589535000503,-0.0014056624389396921,-0.009877359652153861,0.7760852947679693,0.002142110184139151,-0.6439761254543916,0.5195909157321819,0.756053186477789,False
country,US,49959,25081,24878,0.14772138271998725,0.147801270198569,7.988747858175826e-05,0.0005407983401644056,0.9799282408641434,0.0028660390743626696,-0.6380802583289954,0.5234214367923155,0.756053186477789,False
channel,organic,45312,22843,22469,0.14717856673816923,0.1474921002269794,0.00031353348881016374,0.0021302931245956724,0.9249926844207118,0.0025363376122981285,-0.5044571612489795,0.6139401584818199,0.7981222060263659,False
device,tablet,10036,4911,5125,0.1364284259824883,0.1358048780487805,-0.0006235479337078076,-0.004570513287222466,0.9274416623797969,0.0016835182703001106,-0.3193184743124281,0.7494850249336882,0.8483608360983426,False
country,IN,9937,4908,5029,0.10472697636511817,0.10777490554782262,0.0030479291827044536,0.029103572818508727,0.6220801199126198,0.0013761063312954513,0.25309272603051924,0.8001965597221623,0.8483608360983426,False
country,DE,20199,10199,10000,0.13040494166094715,0.131,0.0005950583390528508,0.0045631578947369356,0.9001717064943886,0.0016167321465302142,-0.19121029766107359,0.8483608360983426,0.8483608360983426,False
