day,n_control,x_control,n_treatment,x_treatment,z,naive_p,obf_z_boundary,always_valid_p
1,3428,471,3631,530,1.0312701575025087,0.30241414869415684,7.37702097296499,1.0
2,6868,981,7196,1091,1.4677580171831952,0.1421699651031892,5.226387933409575,1.0
3,10400,1484,10933,1677,2.198067416765087,0.027944302046918473,4.243557631467251,0.3572986110651821
4,13875,1955,14519,2192,2.402649622581939,0.016276774412382827,3.6782630321358925,0.2500156008959665
5,17292,2409,18169,2762,3.388237627123417,0.0007034329279561692,3.310991036049632,0.01836678210865028
6,20725,2858,21903,3317,3.969716096749949,7.195831965426332e-05,3.037723440756595,0.0024957388168434422
7,24201,3334,25669,3877,4.212913720582729,2.5209737956261913e-05,2.8415516365271554,0.0009819899701789614
8,27703,3818,29450,4437,4.365081665359298,1.2707527477831444e-05,2.6697671000992442,0.0005331683602434745
9,31275,4340,33090,4984,4.269388693402099,1.9600943336412367e-05,2.5448368890472084,0.0005331683602434745
10,34660,4803,36759,5507,4.2711602330015115,1.9445862196660182e-05,2.4435046707178927,0.0005331683602434745
11,38194,5268,40331,6053,4.846842357305592,1.2544202575365415e-06,2.3434884607101485,6.52399494374586e-05
12,41724,5763,43963,6581,4.82169362113443,1.4234446050921006e-06,2.268620361924911,6.52399494374586e-05
13,45131,6228,47687,7107,4.7910847683513165,1.6588202030666952e-06,2.203951709498494,6.52399494374586e-05
14,48608,6690,51392,7710,5.578453922574943,2.4266573504244995e-08,2.135,1.6461884039708283e-06
