dimension,level,n,n_control,n_treatment,rate_control,rate_treatment,abs_lift,rel_lift,within_p,lift_outside,interaction_z,interaction_p,bh_adjusted_p,bh_significant
device,mobile,60210,29336,30874,0.12520452686119443,0.1420936710500745,0.016889144188880073,0.13489244049142002,1.1768289319422775e-09,0.00540699595705757,2.496804170640771,0.01253181412426501,0.14382603314706338,False
tenure,loyal,19947,9719,10228,0.18643893404671263,0.21010950332420805,0.023670569277495418,0.126961513690937,2.8053237186070223e-05,0.009659843924801459,2.288179293923369,0.022127082022625134,0.14382603314706338,False
device,desktop,29754,14515,15239,0.16300378918360317,0.16949931097841064,0.006495521794807474,0.03984890061353785,0.13258377481766243,0.014984402893944426,-1.6892991350720707,0.09116211905984015,0.3950358492593073,False
device,tablet,10036,4757,5279,0.13685095648517973,0.1401780640272779,0.0033271075420981677,0.024311905649402332,0.6300451895125108,0.013434077135734301,-1.3862940647737845,0.16565712845644176,0.5383856674834357,False
tenure,new,40259,19598,20661,0.10587815083171752,0.11543487730506752,0.00955672647335,0.0902615544215486,0.002260753613964214,0.014194722861804537,-1.0627575514676562,0.28789191417302173,0.679597363296479,False
tenure,returning,39794,19291,20503,0.1453009175263076,0.1549041603667756,0.009603242840467985,0.06609210047644232,0.007374572236081276,0.014198455182642511,-1.0075712816503664,0.31366032152145185,0.679597363296479,False
channel,paid,34781,16782,17999,0.12209510189488738,0.13689649424968053,0.01480139235479315,0.12122838774921352,4.0461322162660486e-05,0.011274624241748854,0.7727216323404806,0.43968714139986187,0.816561834028315,False
channel,organic,45312,22142,23170,0.147637973082829,0.15861027190332327,0.010972298820494275,0.0743189478382944,0.0011908868846994948,0.013713383844854848,-0.6123511045254691,0.5403054846188671,0.8672575043067343,False
country,UK,19905,9624,10281,0.13642975893599335,0.15115261161365626,0.014722852677662907,0.10791525831670046,0.0031137547775021584,0.011812564371593143,0.5238123805826828,0.6004090414431238,0.8672575043067343,False
country,US,49959,24345,25614,0.1474224686794003,0.1595221363316936,0.012099667652293311,0.0820747865687046,0.00017765576439949585,0.012777221804403244,-0.1527379347708536,0.8786049441133529,0.9294952410685522,False
country,DE,20199,9885,10314,0.13070308548305512,0.14242776808221835,0.011724682599163233,0.08970471168167848,0.015314357135323815,0.012530117355551595,-0.14811371718011393,0.8822530241033913,0.9294952410685522,False
country,IN,9937,4754,5183,0.10433319310054691,0.11595601003279954,0.01162281693225263,0.11140095099985681,0.06477001401965128,0.01260309727750103,-0.14610272707882233,0.8838402936225876,0.9294952410685522,False
channel,referral,19907,9684,10223,0.1416769929781082,0.15367309009097133,0.011996097112863119,0.08467216067125838,0.01715271201921867,0.012491835719832117,-0.08847992275335934,0.9294952410685522,0.9294952410685522,False
